Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Farhan,Isak Danielson,Always,Yours,Pop,3:33,69,45,36,0,5,31,55
Farhan,Isak Danielson,Hold My Hand,Yours,Pop,3:21,66,32,40,0,4,15,23
Farhan,Isak Danielson,I Am Falling in Love,Yours,Pop,3:21,66,32,40,0,4,15,23
Farhan,Isak Danielson,Stay Here,Yours,Pop,4:08,67,40,26,0,3,11,35
Farhan,Isak Danielson,I'll Be Waiting,Yours,Pop,2:33,53,21,94,0,7,12,32
Farhan,Isak Danielson,Remember To Remember Me,Remember To Remember Me,Pop,3:22,56,41,68,0,5,13,17
Farhan,Isak Danielson,Silence,Remember To Remember Me,Pop,2:53,50,46,80,0,3,8,23
Farhan,Isak Danielson,Love Me Wrong,Remember To Remember Me,Pop,2:57,44,61,8,0,4,10,14
Farhan,Isak Danielson,Feel Something,Remember To Remember Me,Pop,3:35,56,34,72,0,3,11,36
Farhan,IV Of Spade,Come Inside Of My Heart,CLAPCLAPCLAP!,Alternative Rock,3:20,66,40,24,0,3,10,7
Farhan,IV Of Spade,Captivated,CLAPCLAPCLAP!,Alternative Rock,4:06,68,56,0,0,3,24,69
Farhan,IV Of Spade,In My Prison,CLAPCLAPCLAP!,Alternative Rock,3:40,67,27,74,0,4,6,62
Farhan,The Weeknd,Save Your Tears,After Hours,Pop,3:39,72,83,5,3,3,30,71
Farhan,The Weeknd,Starboy,Starboy(Deluxe),Pop,3:36,68,83,2,0,3,54,64
Farhan,The Weeknd,Blinding Lights,After Hours,Pop,3:50,68,59,14,0,28,14,49
Farhan,Conan Gray,People Watching,Superache,Indie Pop,6:01,66,57,8,1,3,12,14
Farhan,Conan Gray,Astronomy,Superache,Indie Pop,2:39,53,59,38,0,5,29,54
Farhan,Conan Gray,Memories,Superache,Indie Pop,4:04,47,34,58,0,3,31,15
Farhan,Arctic Monkeys,Do I Wanna Know?,AM,Indie Rock,4:09,34,68,1,0,4,35,56
Farhan,Arctic Monkeys,I Wanna Be Yours,AM,Indie Rock,4:32,55,53,19,0,3,22,41
Farhan,Fall Out Boys,Immortal,American Beauty,Pop Rock,3:04,46,42,14,2,3,10,46
Farhan,Fall Out Boys,Centuries,American Beauty,Pop Rock,3:09,62,87,0,0,7,67,48
Farhan,Fall Out Boys,"Sugar, We're Goin Down",From Under The Cork Tree,Pop Rock,3:48,39,86,0,0,7,10,56
Farhan,Twenty One Pilots,Stressed Out,Blurryface,Alternative Rock,3:49,49,84,1,0,12,8,57
Farhan,Twenty One Pilots,Ride,Blurryface,Alternative Rock,3:22,73,64,5,0,6,14,65
Farhan,Twenty One Pilots,Tear in My Heart,Blurryface,Alternative Rock,3:35,65,71,1,0,4,11,57
Farhan,Twenty One Pilots,Doubt,Blurryface,Alternative Rock,3:08,66,63,2,0,5,7,45
Farhan,Twenty One Pilots,Heavydirtysoul,Blurryface,Alternative Rock,3:11,72,65,12,0,4,36,69
Farhan,Ricky Montgomery,Mr. Loverman,Montgomery Ricky,Indie Pop,3:55,61,87,0,0,4,37,39
Farhan,Ricky Montgomery,Line Without a Hook,Montgomery Ricky,Indie Pop,3:37,64,53,25,0,3,25,49
Farhan,Ricky Montgomery,Don't Know How,Montgomery Ricky,Indie Pop,4:10,43,65,26,0,3,26,51
Farhan,Ricky Montgomery,Last Night,Montgomery Ricky,Indie Pop,3:03,65,78,4,0,3,56,54
Farhan,Coldplay,Yellow ,Parachutes,Pop,4:04,54,96,0,0,8,38,81
Farhan,Coldplay,Sparks,Parachutes,Pop,4:27,43,66,0,0,3,23,28
Farhan,Coldplay,A Sky Full Of Stars,Ghost Stories,Pop,3:47,37,27,75,5,3,10,17
Farhan,Coldplay,The Scientist,A Rush of Blood to the Head,Pop,4:28,55,68,1,0,3,21,16
Farhan,Bruno Mars,Locked out of Heaven,Unorthodox Jukebox,Pop,5:10,56,44,73,0,2,11,21
Farhan,Bruno Mars,When I Was Your Man,Unorthodox Jukebox,Pop,3:53,73,70,5,0,4,31,87
Farhan,Bruno Mars,Just The Way You Are,Doo-Wops & Hooligans,Pop,3:34,61,28,93,0,4,9,39
Farhan,Bruno Mars,Talking to the Moon,Doo-Wops & Hooligans,Pop,3:41,64,87,1,0,4,6,42
Farhan,Bruno Mars,Grenade,Doo-Wops & Hooligans,Pop,3:38,50,59,8,51,0,3,11
Farhan,Rosendale,Sirensong,Modern Myths For A Crazy World,Pop,3:42,70,56,15,0,5,11,25
Farhan,Rosendale,The Tide,Modern Myths For A Crazy World,Pop,3:12,67,54,88,0,3,9,30
Farhan,Rosendale,Unwell,Modern Myths For A Crazy World,Pop,2:55,62,29,79,0,4,11,44
Farhan,Rosendale,Little Girl,Modern Myths For A Crazy World,Pop,3:18,56,76,16,0,8,15,52
Farhan,Rosendale,Monster In The Wall,Modern Myths For A Crazy World,Pop,3:43,67,53,84,0,3,12,45
Farhan,Rosendale,Six Pills,Modern Myths For A Crazy World,Pop,3:02,68,51,50,0,3,30,78
Farhan,Rosendale,The King,Modern Myths For A Crazy World,Pop,3:57,46,34,78,0,4,16,55
Farhan,Stephen Sanchez,Until I Found You,Easy On My Eyes,Blue-eyed Soul,3:33,66,30,87,0,3,10,25
Farhan,Radiohead,Creep,Pablo Honey,Alternative Rock,2:58,54,51,73,0,3,17,23
Farhan,Radiohead,No Surprises,OK Computer,Alternative Rock,3:59,52,43,1,0,4,13,10
Farhan,My Chemical Romance,Welcome to the Black Parade,The Black Parade,Alternative Rock,3:49,26,39,6,0,3,11,12
Farhan,My Chemical Romance,Teenager,The Black Parade,Alternative Rock,5:11,22,91,0,0,8,22,24
Farhan,My Chemical Romance,Mama,The Black Parade,Alternative Rock,2:42,46,86,5,0,6,18,86
Farhan,My Chemical Romance,Cancer,The Black Parade,Alternative Rock,4:39,24,80,1,0,9,9,30
Farhan,My Chemical Romance,Dead!,The Black Parade,Alternative Rock,2:23,46,52,36,0,3,28,22
Farhan,My Chemical Romance,I Don't Love You,The Black Parade,Alternative Rock,3:16,48,97,0,0,5,33,36
Farhan,Novo Amor,Opaline,"Cannot Be, Whatsoever",Indie Folk,3:59,29,80,1,0,5,20,33
Farhan,Novo Amor,I Feel Better,"Cannot Be, Whatsoever",Indie Folk,3:12,37,34,96,12,3,9,28
Farhan,Novo Amor,Decimal,"Cannot Be, Whatsoever",Indie Folk,2:49,58,61,74,9,3,11,35
Farhan,Novo Amor,No Plans,"Cannot Be, Whatsoever",Indie Folk,2:59,58,43,89,22,3,8,32
Farhan,Novo Amor,Birdcage,"Cannot Be, Whatsoever",Indie Folk,3:16,56,50,89,21,4,23,49
Farhan,Novo Amor,Keep Me,"Cannot Be, Whatsoever",Indie Folk,3:22,57,41,90,64,2,9,22
